L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
64,2.36999989e+00,2.02173242e-01,3.84563727e-03,3.33056896e+01,9.92801992e-01,-1.24080013e+00,6.28034980e-04,1.28361039e+00,1.93981764e-02
64,2.37999988e+00,1.81907096e-01,3.34748523e-03,2.73849228e+01,8.89624262e-01,-1.22785716e+00,6.42410042e-04,1.21786901e+00,1.75678138e-02
64,2.38999987e+00,1.67306999e-01,2.46408298e-03,2.45222373e+01,6.24883331e-01,-1.21594206e+00,3.82186919e-04,1.18103111e+00,1.05898811e-02
64,2.39999986e+00,1.59015137e-01,1.87001001e-03,2.21213224e+01,5.20138459e-01,-1.20410234e+00,4.59742505e-04,1.12066904e+00,1.17158918e-02
64,2.45000005e+00,1.20918783e-01,1.15716130e-03,1.33432443e+01,2.25741325e-01,-1.15196536e+00,4.56140215e-04,9.63677754e-01,1.07069493e-02
64,2.50000000e+00,9.87472331e-02,9.45847532e-04,8.96952237e+00,1.74972910e-01,-1.10576178e+00,3.06612778e-04,8.73110347e-01,1.11073779e-02
64,2.54999995e+00,8.49086589e-02,9.12362896e-04,6.44079876e+00,1.26434788e-01,-1.06503639e+00,3.31767134e-04,7.65832619e-01,6.74953636e-03
64,2.60000014e+00,7.45597005e-02,4.65716094e-04,4.88294634e+00,6.08818079e-02,-1.02811445e+00,3.29351075e-04,6.99105864e-01,6.04974787e-03
64,2.65000010e+00,6.77977539e-02,4.78262410e-04,3.99551561e+00,5.05580332e-02,-9.94564714e-01,2.00002956e-04,6.50530603e-01,8.32560538e-03
64,2.70000005e+00,6.15545247e-02,3.58332232e-04,3.20988051e+00,3.41142846e-02,-9.63552018e-01,2.92594690e-04,5.97979886e-01,4.94971249e-03
64,2.75000000e+00,5.67494466e-02,3.06502406e-04,2.67008683e+00,3.55041355e-02,-9.34917578e-01,3.15407210e-04,5.53334110e-01,6.65255475e-03
64,2.79999995e+00,5.27341797e-02,2.44627409e-04,2.32751854e+00,1.71602723e-02,-9.07921289e-01,1.57283146e-04,5.09958737e-01,5.69502938e-03
64,2.85000014e+00,4.95112305e-02,3.60442206e-04,2.04475872e+00,2.86989439e-02,-8.83368685e-01,1.66584907e-04,4.81551529e-01,6.38741840e-03
64,2.90000010e+00,4.61243164e-02,3.12218911e-04,1.75152775e+00,1.99977548e-02,-8.59610026e-01,2.19807145e-04,4.46621621e-01,6.00708748e-03
64,2.95000005e+00,4.42451823e-02,2.10311717e-04,1.53833774e+00,2.35984757e-02,-8.38066927e-01,2.21427720e-04,4.23156629e-01,4.53418570e-03
64,3.00000000e+00,4.21359375e-02,2.94358005e-04,1.37650195e+00,1.38946238e-02,-8.17455599e-01,2.52544641e-04,4.02627644e-01,3.49931300e-03
64,3.05000019e+00,4.00682943e-02,2.90459713e-04,1.25489370e+00,1.90224662e-02,-7.97460091e-01,2.07504615e-04,3.81480398e-01,2.90426259e-03
64,3.10000014e+00,3.91649414e-02,2.01697296e-04,1.16716692e+00,1.52113293e-02,-7.79223112e-01,2.26530037e-04,3.62122660e-01,4.00314683e-03
64,3.15000010e+00,3.76825846e-02,2.63865125e-04,1.03373937e+00,1.64925050e-02,-7.61662565e-01,2.34634059e-04,3.40723731e-01,3.75504211e-03
64,3.20000005e+00,3.67561849e-02,2.50146987e-04,9.83873725e-01,7.72828940e-03,-7.44997721e-01,1.88891629e-04,3.20680038e-01,3.28049716e-03
64,3.25000000e+00,3.50255208e-02,1.44777040e-04,8.74192189e-01,1.19738701e-02,-7.29317578e-01,1.73711659e-04,3.08816004e-01,3.80399300e-03
64,3.30000019e+00,3.42057617e-02,2.32842846e-04,8.43839475e-01,1.04259066e-02,-7.14321615e-01,2.62362791e-04,2.98474673e-01,3.31240639e-03
64,3.35000014e+00,3.30860352e-02,1.23855772e-04,7.55482158e-01,7.45857381e-03,-6.99416211e-01,3.11758740e-04,2.80086458e-01,2.77486698e-03
64,3.40000010e+00,3.22981445e-02,2.01513413e-04,7.06577118e-01,8.36695704e-03,-6.85870443e-01,2.06500722e-04,2.62093741e-01,2.01859212e-03
64,3.45000005e+00,3.18337565e-02,2.27286902e-04,6.98876455e-01,1.05811592e-02,-6.72576758e-01,1.81562525e-04,2.58608912e-01,2.36595389e-03
64,3.50000000e+00,3.09403971e-02,1.59454063e-04,6.44304274e-01,7.38934827e-03,-6.60427148e-01,1.53967453e-04,2.47770404e-01,3.47139183e-03
64,3.55000019e+00,3.03645182e-02,1.64112805e-04,5.95051921e-01,9.12335457e-03,-6.48016667e-01,2.03296149e-04,2.35763250e-01,2.28661225e-03
64,3.59999990e+00,2.93942383e-02,1.54128417e-04,5.59025623e-01,4.88680076e-03,-6.36542773e-01,2.40336036e-04,2.30902193e-01,2.86632392e-03
64,3.65000010e+00,2.91663737e-02,1.61880312e-04,5.40358525e-01,8.03580638e-03,-6.25291406e-01,2.68703956e-04,2.21096931e-01,2.31125700e-03
64,3.70000005e+00,2.83944336e-02,1.31858555e-04,5.06517998e-01,7.34089305e-03,-6.14717904e-01,1.71040748e-04,2.14097180e-01,1.87794906e-03
64,3.75000000e+00,2.76574544e-02,1.58809254e-04,4.83072441e-01,5.83849827e-03,-6.04081185e-01,2.35134762e-04,2.06590369e-01,1.85920569e-03
